Epoch,Loss,PSNR,SSIM
1,0.4727766869629532,26.514379718809924,0.5473216457620065
2,0.46458527540973815,26.998161087624243,0.5495537399410283
3,0.46279823318972363,26.897197977612716,0.5497747379871374
4,0.46215347372361354,26.99428771058412,0.5507153076866999
5,0.4619348583971387,27.076196738699558,0.5511556301091046
6,0.4616145506775067,27.048458555952685,0.5510119737760956
7,0.4614221271207154,27.116961320664554,0.5510645012422801
8,0.4612859552094792,27.081204908781313,0.5512111272973537
9,0.46105501132939514,27.12755221411659,0.5506903217642058
10,0.4607300979701752,27.041557750554876,0.5512774947083071
11,0.4606006986569051,27.170734173481332,0.5514666285478075
12,0.46066736770021016,27.15342898632817,0.5518564701947033
13,0.4605131743497682,27.0532675658228,0.5519431686842032
14,0.4604824493990206,27.157512212618297,0.5515291160984146
15,0.4604833186858029,27.08320230819499,0.5518159553972507
16,0.4603198680282537,27.1171214156495,0.5520515900165281
17,0.4602902350466307,27.15506016972521,0.5519200258285915
18,0.46023624470504015,27.175582419798435,0.5516038742717865
19,0.4600203239655559,27.119345648003026,0.5519352108334108
20,0.4601714715886885,27.15843192008967,0.5523837105557061
21,0.46013077501792365,27.19018685648971,0.5513014109352291
22,0.4600109254094483,27.15461104378971,0.5522326061858442
23,0.4596090715408828,27.146007391348867,0.5522316716825453
24,0.45976606900791117,27.224759018997588,0.5515638042066426
25,0.4598723544741151,27.114171888515845,0.5518887772529628
26,0.45983149748801755,27.19840065836489,0.5521090088520505
27,0.4596266293874093,27.155171401699523,0.5515673839229341
28,0.4597099245079457,27.236170343961764,0.5518626771600996
29,0.459561429390278,27.176176948253307,0.5521188481900771
30,0.45951127947615944,27.1563594254064,0.5524756040588574
31,0.45952472066925965,27.194859425037492,0.5522559979691652
32,0.45932960217528473,27.197721870545333,0.5522417538489339
33,0.45939490276311096,27.213035795483126,0.5522644502899825
34,0.45935034533245944,27.203177841977798,0.5519926634581255
35,0.4594344215225692,27.201090642131117,0.5522123110643115
36,0.4592487454890271,27.218875240227018,0.5520592673098865
37,0.45932613766204167,27.212426233592364,0.552572211974053
38,0.45926588978006666,27.14875039178839,0.5520028037557505
39,0.4591777981198599,27.23395340631454,0.551808878169581
40,0.4590954135819421,27.211702952555367,0.5521662539548613
41,0.4589883771403147,27.229568336823643,0.5517446447960046
42,0.4591521037230114,27.193866902961545,0.5521912251213421
43,0.45888076534505423,27.19720785332127,0.5520967824743525
44,0.4590155149563927,27.065385291588083,0.5524869097724359
45,0.45896064276147874,27.149639716813343,0.5522038656667386
46,0.4588027901006916,27.16833511023732,0.5520774071470957
47,0.4588237192776951,27.225786255754286,0.5520364993495296
48,0.45878004207511236,27.195799039106898,0.5523181591812095
49,0.4588569359818508,27.19443425189889,0.5521459377210877
50,0.4587831841324352,27.2167385348592,0.5516693143668756
